"Cincinnati Rage","Tank Bigsby","RB","PHI","bench",2100000,2034
"Cincinnati Rage","James Conner","RB","ARI","bench",900000,2029
"Cincinnati Rage","Keaton Mitchell","RB","LAC","bench",700000,2034
"Cincinnati Rage","Joe Mixon","RB","HOU","bench",1400000,2028
"Cincinnati Rage","Kayshon Boutte","WR","NE","bench",300000,2034
"Cincinnati Rage","Terry McLaurin","WR","WAS","bench",2520000,-
"Cincinnati Rage","Sam LaPorta","TE","DET","bench",1000000,2029
"Gettysburg GirthQuake","Justin Herbert","QB","LAC","starter",2800000,-
"Gettysburg GirthQuake","Breece Hall","RB","NYJ","starter",500000,2028
"Gettysburg GirthQuake","Derrick Henry","RB","BAL","starter",2500000,2027
"Gettysburg GirthQuake","David Montgomery","RB","HOU","starter",1200000,-
"Gettysburg GirthQuake","Marvin Harrison Jr.","WR","ARI","starter",800000,2030
"Gettysburg GirthQuake","CeeDee Lamb","WR","DAL","starter",500000,-
"Gettysburg GirthQuake","Chris Olave","WR","NO","starter",400000,2028
"Gettysburg GirthQuake","Trey McBride","TE","ARI","starter",300000,2029
"Gettysburg GirthQuake","Philip Rivers","QB","IND","bench",400000,2034
"Gettysburg GirthQuake","Cam Ward","QB","TEN","bench",1700000,2034
"Gettysburg GirthQuake","Trevor Etienne","RB","CAR","bench",250000,2034
"Gettysburg GirthQuake","Antonio Gibson","RB","NE","bench",400000,2034
"Gettysburg GirthQuake","Alvin Kamara","RB","NO","bench",800000,-
"Gettysburg GirthQuake","Jase McClellan","RB","TB","bench",100000,-
"Gettysburg GirthQuake","Kenny McIntosh","RB","SEA","bench",100000,-
"Gettysburg GirthQuake","Elijah Mitchell","RB","NE","bench",500000,2034
"Gettysburg GirthQuake","Sean Tucker","RB","TB","bench",300000,-
"Gettysburg GirthQuake","Isaiah Bond","WR","CLE","bench",100000,2034
"Gettysburg GirthQuake","Jahan Dotson","WR","ATL","bench",300000,2034
"Gettysburg GirthQuake","Diontae Johnson","WR","CLE","bench",600000,2034
"Gettysburg GirthQuake","Tyler Johnson","WR","NYJ","bench",100000,-
"Gettysburg GirthQuake","D.K. Metcalf","WR","PIT","bench",1000000,-
"Gettysburg GirthQuake","Ja'Lynn Polk","WR","NO","bench",200000,-
"Gettysburg GirthQuake","Darius Slayton","WR","NYG","bench",200000,2034
"Gettysburg GirthQuake","Kyle Williams","WR","NE","bench",500000,2034
"Gettysburg GirthQuake","Daniel Bellinger","TE","TEN","bench",200000,-
"Gettysburg GirthQuake","Evan Engram","TE","DEN","bench",100000,-
"Gettysburg GirthQuake","Luke Musgrave","TE","GB","bench",100000,2034
"Gettysburg GirthQuake","Irv Smith Jr.","TE","HOU","bench",100000,-
"Grande Pointe Gangstas","Josh Allen","QB","BUF","starter",3900000,-
"Grande Pointe Gangstas","Chase Brown","RB","CIN","starter",100000,2029
"Grande Pointe Gangstas","James Cook","RB","BUF","starter",300000,2028
"Grande Pointe Gangstas","Omarion Hampton","RB","LAC","starter",750000,2034
"Grande Pointe Gangstas","A.J. Brown","WR","PHI","starter",700000,2028
"Grande Pointe Gangstas","Andrei Iosivas","WR","CIN","starter",600000,-
"Grande Pointe Gangstas","Jauan Jennings","WR","SF","starter",600000,-
"Grande Pointe Gangstas","Darren Waller","TE","MIA","starter",600000,2034
"Grande Pointe Gangstas","Mitchell Trubisky","QB","TEN","bench",400000,2034
"Grande Pointe Gangstas","Ray Davis","RB","BUF","bench",600000,-
"Grande Pointe Gangstas","Emari Demercado","RB","KC","bench",300000,2034
"Grande Pointe Gangstas","Hassan Haskins","RB","LAC","bench",300000,2034
"Grande Pointe Gangstas","Terrell Jennings","RB","NE","bench",100000,2034
"Grande Pointe Gangstas","Ty Johnson","RB","BUF","bench",400000,-
"Grande Pointe Gangstas","Hunter Luepke","RB","DAL","bench",100000,2034
"Grande Pointe Gangstas","Samaje Perine","RB","CIN","bench",200000,-
"Grande Pointe Gangstas","Kimani Vidal","RB","LAC","bench",100000,-
"Grande Pointe Gangstas","Keon Coleman","WR","BUF","bench",400000,2034
"Grande Pointe Gangstas","Matthew Golden","WR","GB","bench",750000,2034
"Grande Pointe Gangstas","Travis Hunter","WR","JAX","bench",1000000,2034
"Grande Pointe Gangstas","Xavier Legette","WR","CAR","bench",400000,-
"Grande Pointe Gangstas","Darnell Mooney","WR","NYG","bench",700000,-
"Grande Pointe Gangstas","Rashee Rice","WR","KC","bench",700000,2029
"Grande Pointe Gangstas","Mason Tipton","WR","NO","bench",100000,2034
"Grande Pointe Gangstas","Marquez Valdes-Scantling","WR","PIT","bench",400000,-
"Grande Pointe Gangstas","T.J. Hockenson","TE","MIN","bench",300000,-
"Grande Pointe Gangstas","George Kittle","TE","SF","bench",700000,-
"Minnesota Mongoose","Dak Prescott","QB","DAL","starter",3200000,-
"Minnesota Mongoose","Kenneth Gainwell","RB","TB","starter",100000,-
"Minnesota Mongoose","RJ Harvey","RB","DEN","starter",500000,2034
"Minnesota Mongoose","Tyrone Tracy Jr.","RB","NYG","starter",600000,2028
"Minnesota Mongoose","Mike Evans","WR","SF","starter",1800000,-
"Minnesota Mongoose","Chris Godwin","WR","TB","starter",300000,2029
"Minnesota Mongoose","Tetairoa McMillan","WR","CAR","starter",1000000,2034
"Minnesota Mongoose","Dallas Goedert","TE","PHI","starter",1100000,-
"Minnesota Mongoose","J.J. McCarthy","QB","MIN","bench",1500000,2034
"Minnesota Mongoose","Jaydon Blue","RB","DAL","bench",250000,2034
"Minnesota Mongoose","Quinshon Judkins","RB","CLE","bench",500000,2034
"Minnesota Mongoose","Zack Moss","RB","---","bench",800000,2027
"Minnesota Mongoose","Rachaad White","RB","WAS","bench",300000,2028
"Minnesota Mongoose","Davante Adams","WR","LAR","bench",1400000,2028
"Minnesota Mongoose","Jack Bech","WR","LV","bench",500000,2034
"Minnesota Mongoose","Troy Franklin","WR","DEN","bench",200000,-
"Minnesota Mongoose","Tyreek Hill","WR","MIA","bench",600000,2028
"Minnesota Mongoose","Adonai Mitchell","WR","NYJ","bench",100000,-
"Minnesota Mongoose","Ricky Pearsall","WR","SF","bench",300000,-
"Minnesota Mongoose","Tyquan Thornton","WR","KC","bench",100000,2034
"Minnesota Mongoose","Dont'e Thornton Jr.","WR","LV","bench",250000,2034
"Minnesota Mongoose","Devaughn Vele","WR","NO","bench",300000,-
"Minnesota Mongoose","Parker Washington","WR","JAX","bench",300000,2034
"Minnesota Mongoose","Gunnar Helm","TE","TEN","bench",200000,2034
"Minnesota Mongoose","Travis Kelce","TE","KC","bench",400000,2027
"Minnesota Mongoose","Mason Taylor","TE","NYJ","bench",100000,2034
"North Dakota Wolfpac","Jaxson Dart","QB","NYG","starter",2400000,2034
"North Dakota Wolfpac","Devon Achane","RB","MIA","starter",1200000,2028
"North Dakota Wolfpac","Bucky Irving","RB","TB","starter",800000,2029
"North Dakota Wolfpac","Ja'Marr Chase","WR","CIN","starter",1300000,2027
"North Dakota Wolfpac","Emeka Egbuka","WR","TB","starter",750000,2034
"North Dakota Wolfpac","Courtland Sutton","WR","DEN","starter",800000,-
"North Dakota Wolfpac","Jaylen Waddle","WR","DEN","starter",700000,2027
"North Dakota Wolfpac","Tyler Warren","TE","IND","starter",500000,2034
"North Dakota Wolfpac","Patrick Mahomes","QB","KC","bench",4500000,2028
"North Dakota Wolfpac","Joe Milton III","QB","DAL","bench",100000,2034
"North Dakota Wolfpac","Kyler Murray","QB","MIN","bench",700000,2034
"North Dakota Wolfpac","Brock Purdy","QB","SF","bench",2300000,2034
"North Dakota Wolfpac","Blake Corum","RB","LAR","bench",100000,-
"North Dakota Wolfpac","Jacory Croskey-Merritt","RB","WAS","bench",100000,2034
"North Dakota Wolfpac","Audric Estime","RB","NO","bench",200000,-
"North Dakota Wolfpac","DJ Giddens","RB","IND","bench",250000,2034
"North Dakota Wolfpac","Devin Neal","RB","NO","bench",100000,2034
"North Dakota Wolfpac","Tony Pollard","RB","TEN","bench",400000,-
"North Dakota Wolfpac","Pat Bryant","WR","DEN","bench",500000,2034
"North Dakota Wolfpac","Tank Dell","WR","HOU","bench",700000,2029
"North Dakota Wolfpac","Josh Downs","WR","IND","bench",800000,-
"North Dakota Wolfpac","Cooper Kupp","WR","SEA","bench",500000,2034
"North Dakota Wolfpac","Jalen Royals","WR","KC","bench",250000,2034
"North Dakota Wolfpac","Khalil Shakir","WR","BUF","bench",500000,2029
"North Dakota Wolfpac","Elijah Arroyo","TE","SEA","bench",100000,2034
"North Dakota Wolfpac","David Njoku","TE","CLE","bench",400000,2034
"North Dakota Wolfpac","Colby Parkinson","TE","LAR","bench",800000,2034
"North Dakota Wolfpac","Dalton Schultz","TE","HOU","bench",300000,-
"Northside Nightmare","Jacoby Brissett","QB","ARI","starter",2400000,2034
"Northside Nightmare","Chuba Hubbard","RB","CAR","starter",1600000,2034
"Northside Nightmare","Devin Singletary","RB","NYG","starter",400000,2034
"Northside Nightmare","Jonathan Taylor","RB","IND","starter",2000000,2030
"Northside Nightmare","Keenan Allen","WR","LAC","starter",1300000,-
"Northside Nightmare","Justin Jefferson","WR","MIN","starter",700000,-
"Northside Nightmare","Amon-Ra St. Brown","WR","DET","starter",600000,-
"Northside Nightmare","Mark Andrews","TE","BAL","starter",600000,2034
"Northside Nightmare","Lamar Jackson","QB","BAL","bench",2900000,2029
"Northside Nightmare","Trey Lance","QB","LAC","bench",100000,-
"Northside Nightmare","Tyler Shough","QB","NO","bench",1300000,2034
"Northside Nightmare","Rasheen Ali","RB","BAL","bench",100000,-
"Northside Nightmare","Tahj Brooks","RB","CIN","bench",100000,2034
"Northside Nightmare","Isaiah Davis","RB","NYJ","bench",200000,-
"Northside Nightmare","Najee Harris","RB","LAC","bench",1000000,2027
"Northside Nightmare","Jawhar Jordan","RB","HOU","bench",100000,2034
"Northside Nightmare","Zonovan Knight","RB","ARI","bench",100000,2034
"Northside Nightmare","Elic Ayomanor","WR","TEN","bench",250000,2034
"Northside Nightmare","Treylon Burks","WR","WAS","bench",100000,2034
"Northside Nightmare","Jermaine Burton","WR","---","bench",100000,-
"Northside Nightmare","Tory Horton","WR","SEA","bench",250000,2034
"Northside Nightmare","Jalen McMillan","WR","TB","bench",800000,-
"Northside Nightmare","Dalton Kincaid","TE","BUF","bench",200000,2029
"Northside Nightmare","Tucker Kraft","TE","GB","bench",600000,-
"Oslo Norsemen","C.J. Stroud","QB","HOU","starter",2600000,2029
"Oslo Norsemen","Saquon Barkley","RB","PHI","starter",2500000,2029
"Oslo Norsemen","Aaron Jones","RB","MIN","starter",1200000,2027
"Oslo Norsemen","Kenneth Walker III","RB","KC","starter",900000,2027
"Oslo Norsemen","Zay Flowers","WR","BAL","starter",600000,2029
"Oslo Norsemen","D.J. Moore","WR","BUF","starter",900000,2028
"Oslo Norsemen","Michael Wilson","WR","ARI","starter",400000,2034
"Oslo Norsemen","Kyle Pitts","TE","ATL","starter",100000,2027
"Oslo Norsemen","Jordan Love","QB","GB","bench",2300000,-
"Oslo Norsemen","Tyler Badie","RB","DEN","bench",100000,2034
"Oslo Norsemen","Zach Charbonnet","RB","SEA","bench",900000,-
"Oslo Norsemen","Malik Davis","RB","DAL","bench",100000,2034
